"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","name","condition","race","gender","image","question","expression","answer","correct","behaviorType","behavior","question_type","correct_answers","participant_response","nameGuesses","nameAnswer","behaviorAnswer"
"","","","","","image-keyboard-response","429","2.0.0","1329125","2690","./images/WF-233.jpg","2","","","","","./images/WF-233.jpg","","","","false","","","recognition","[""7"",""8"",""9""]","2","","",""
"","","","","","image-keyboard-response","430","2.0.0","1330288","1161","./lure_images/LM-248.jpg","2","","","","","./lure_images/LM-248.jpg","","","","true","","","recognition","[""1"",""2"",""3""]","2","","",""
"","","","","","image-keyboard-response","431","2.0.0","1332093","1805","./lure_images/LF-221.jpg","1","","","","","./lure_images/LF-221.jpg","","","","true","","","recognition","[""1"",""2"",""3""]","1","","",""
"","","","","","image-keyboard-response","432","2.0.0","1333502","1407","./lure_images/LF-250.jpg","1","","","","","./lure_images/LF-250.jpg","","","","true","","","recognition","[""1"",""2"",""3""]","1","","",""
"","","","","","image-keyboard-response","433","2.0.0","1334847","1345","./images/AF-252.jpg","1","","","","","./images/AF-252.jpg","","","","false","","","recognition","[""7"",""8"",""9""]","1","","",""
"","","","","","image-keyboard-response","434","2.0.0","1336864","2016","./images/AM-207.jpg","7","","","","","./images/AM-207.jpg","","","","true","","","recognition","[""7"",""8"",""9""]","7","","",""
"","","","","","image-keyboard-response","435","2.0.0","1338351","1486","./lure_images/WM-207.jpg","1","","","","","./lure_images/WM-207.jpg","","","","true","","","recognition","[""1"",""2"",""3""]","1","","",""
"","","","","","image-keyboard-response","436","2.0.0","1339626","1274","./images/LM-239.jpg","1","","","","","./images/LM-239.jpg","","","","false","","","recognition","[""7"",""8"",""9""]","1","","",""
"","","","","","html-keyboard-response","437","2.0.0","1342068","2441","<p>Now, you will take the second part of the memory test.<p/>
          <p>Please wait for the experimenter instructions.<p/>
          <p>When prompted, press ""1"" to begin the second memory test.<p/>","1","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","438","2.0.0","1342775","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","439","2.0.0","1347409","4632","./images/WM-208.jpg","1","Robert","control","white","Male","./images/WM-208.jpg","","","","false","","","recall","","","[""Jacob"",""David"",""Christian"",""Robert"",""Alexander""]","4",""
"","","","","","html-keyboard-response","440","2.0.0","1348112","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","441","2.0.0","1351011","2896","./images/WM-208.jpg","3","","","","","./images/WM-208.jpg","","","","false","","","behavior","","","","","4"
"","","","","","html-keyboard-response","442","2.0.0","1351712","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","443","2.0.0","1356594","4880","./images/AF-255.jpg","4","Katherine","bio-first","asian","Female","./images/AF-255.jpg","","","","false","","","recall","","","[""Maria"",""Katherine"",""Stephanie"",""Jessica"",""Jasmine""]","2",""
"","","","","","html-keyboard-response","444","2.0.0","1357300","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","445","2.0.0","1360041","2740","./images/AF-255.jpg","3","","","","","./images/AF-255.jpg","","","","false","positive","","behavior","","","","","1"
"","","","","","html-keyboard-response","446","2.0.0","1360746","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","447","2.0.0","1363532","2783","./images/AF-228.jpg","5","Jessica","bio-first","asian","Female","./images/AF-228.jpg","","","","true","","","recall","","","[""Jasmine"",""Samantha"",""Anna"",""Katherine"",""Jessica""]","5",""
"","","","","","html-keyboard-response","448","2.0.0","1364238","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","449","2.0.0","1366893","2653","./images/AF-228.jpg","3","","","","","./images/AF-228.jpg","","","","true","neutral","","behavior","","","","","3"
"","","","","","html-keyboard-response","450","2.0.0","1367595","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","451","2.0.0","1371832","4236","./images/LM-243.jpg","1","Isaac","control","latino","Male","./images/LM-243.jpg","","","","false","","","recall","","","[""James"",""Nathan"",""Elijah"",""Nicholas"",""Isaac""]","5",""
"","","","","","html-keyboard-response","452","2.0.0","1372537","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","453","2.0.0","1375496","2957","./images/LM-243.jpg","2","","","","","./images/LM-243.jpg","","","","false","","","behavior","","","","","4"
"","","","","","html-keyboard-response","454","2.0.0","1376200","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","455","2.0.0","1380708","4506","./images/WF-235.jpg","3","Jennifer","bio-first","white","Female","./images/WF-235.jpg","","","","false","","","recall","","","[""Jennifer"",""Jasmine"",""Megan"",""Taylor"",""Chloe""]","1",""
"","","","","","html-keyboard-response","456","2.0.0","1381414","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","457","2.0.0","1383264","1848","./images/WF-235.jpg","3","","","","","./images/WF-235.jpg","","","","false","negative","","behavior","","","","","2"
"","","","","","html-keyboard-response","458","2.0.0","1383971","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","459","2.0.0","1387475","3502","./images/AM-252.jpg","4","Noah","bio-first","asian","Male","./images/AM-252.jpg","","","","false","","","recall","","","[""Jackson"",""Evan"",""Noah"",""Andrew"",""Joseph""]","3",""
"","","","","","html-keyboard-response","460","2.0.0","1388180","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","461","2.0.0","1389868","1686","./images/AM-252.jpg","3","","","","","./images/AM-252.jpg","","","","false","negative","","behavior","","","","","2"
"","","","","","html-keyboard-response","462","2.0.0","1390574","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","463","2.0.0","1394471","3895","./images/LF-251.jpg","4","Maria","bio-first","latino","Female","./images/LF-251.jpg","","","","false","","","recall","","","[""Maria"",""Lilian"",""Olivia"",""Anna"",""Katherine""]","1",""
"","","","","","html-keyboard-response","464","2.0.0","1395175","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","465","2.0.0","1397290","2113","./images/LF-251.jpg","2","","","","","./images/LF-251.jpg","","","","false","positive","","behavior","","","","","1"
"","","","","","html-keyboard-response","466","2.0.0","1397993","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","467","2.0.0","1406102","8108","./images/LM-200.jpg","3","Jose","bio-first","latino","Male","./images/LM-200.jpg","","","","false","","","recall","","","[""Nicholas"",""Jose"",""Evan"",""James"",""Tyler""]","2",""
"","","","","","html-keyboard-response","468","2.0.0","1406808","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","469","2.0.0","1409717","2907","./images/LM-200.jpg","2","","","","","./images/LM-200.jpg","","","","false","positive","","behavior","","","","","1"
"","","","","","html-keyboard-response","470","2.0.0","1410420","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","471","2.0.0","1413714","3293","./images/WF-214.jpg","2","Taylor","bio-first","white","Female","./images/WF-214.jpg","","","","false","","","recall","","","[""Taylor"",""Megan"",""Abigial"",""Jennifer"",""Maria""]","1",""
"","","","","","html-keyboard-response","472","2.0.0","1414421","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","473","2.0.0","1417436","3014","./images/WF-214.jpg","4","","","","","./images/WF-214.jpg","","","","false","positive","","behavior","","","","","1"
"","","","","","html-keyboard-response","474","2.0.0","1418139","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","475","2.0.0","1420237","2097","./images/LM-231.jpg","2","Nathan","face-first","latino","Male","./images/LM-231.jpg","","","","false","","","recall","","","[""Hunter"",""Nicholas"",""James"",""Alexander"",""Nathan""]","5",""
"","","","","","html-keyboard-response","476","2.0.0","1420939","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","477","2.0.0","1423196","2255","./images/LM-231.jpg","4","","","","","./images/LM-231.jpg","","","","false","neutral","","behavior","","","","","3"
"","","","","","html-keyboard-response","478","2.0.0","1423902","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","479","2.0.0","1425957","2053","./images/LM-207.jpg","3","Christopher","control","latino","Male","./images/LM-207.jpg","","","","false","","","recall","","","[""Christopher"",""Isaac"",""Nathan"",""Nicholas"",""James""]","1",""
"","","","","","html-keyboard-response","480","2.0.0","1426663","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","481","2.0.0","1428232","1567","./images/LM-207.jpg","4","","","","","./images/LM-207.jpg","","","","true","","","behavior","","","","","4"
"","","","","","html-keyboard-response","482","2.0.0","1428937","null","What's their name?","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","483","2.0.0","1432058","3119","./images/WF-244.jpg","5","Chloe","face-first","white","Female","./images/WF-244.jpg","","","","true","","","recall","","","[""Destiny"",""Victoria"",""Jennifer"",""Abigial"",""Chloe""]","5",""
"","","","","","html-keyboard-response","484","2.0.0","1432764","null","What type of behavior is associated with this person?","null","","","","","","","","","","","","","","","","",""
