"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","name","condition","race","gender","behaviorType","image","behavior","question","expression","answer","correct","question_type","correct_answers","participant_response","nameGuesses","nameAnswer","behaviorAnswer"
"","","","","","image-keyboard-response","414","2.0.0","1276458","1235","./images/LM-231.jpg","2","","","","","","./images/LM-231.jpg","","","","","false","recognition","[""4"",""5"",""6""]","2","","",""
"","","","","","image-keyboard-response","415","2.0.0","1277785","1326","./images/AM-237.jpg","2","","","","","","./images/AM-237.jpg","","","","","false","recognition","[""4"",""5"",""6""]","2","","",""
"","","","","","image-keyboard-response","416","2.0.0","1279425","1640","./images/WM-208.jpg","6","","","","","","./images/WM-208.jpg","","","","","true","recognition","[""4"",""5"",""6""]","6","","",""
"","","","","","image-keyboard-response","417","2.0.0","1281026","1600","./lure_images/AM-253.jpg","2","","","","","","./lure_images/AM-253.jpg","","","","","true","recognition","[""1"",""2"",""3""]","2","","",""
"","","","","","image-keyboard-response","418","2.0.0","1283005","1978","./lure_images/LF-216.jpg","2","","","","","","./lure_images/LF-216.jpg","","","","","true","recognition","[""1"",""2"",""3""]","2","","",""
"","","","","","image-keyboard-response","419","2.0.0","1285092","2087","./lure_images/WF-213.jpg","2","","","","","","./lure_images/WF-213.jpg","","","","","true","recognition","[""1"",""2"",""3""]","2","","",""
"","","","","","image-keyboard-response","420","2.0.0","1286300","1208","./lure_images/LF-239.jpg","3","","","","","","./lure_images/LF-239.jpg","","","","","true","recognition","[""1"",""2"",""3""]","3","","",""
"","","","","","image-keyboard-response","421","2.0.0","1287531","1230","./lure_images/WM-015.jpg","3","","","","","","./lure_images/WM-015.jpg","","","","","true","recognition","[""1"",""2"",""3""]","3","","",""
"","","","","","image-keyboard-response","422","2.0.0","1289988","2456","./images/AF-227.jpg","3","","","","","","./images/AF-227.jpg","","","","","false","recognition","[""4"",""5"",""6""]","3","","",""
"","","","","","image-keyboard-response","423","2.0.0","1292041","2053","./lure_images/LF-202.jpg","3","","","","","","./lure_images/LF-202.jpg","","","","","true","recognition","[""1"",""2"",""3""]","3","","",""
"","","","","","image-keyboard-response","424","2.0.0","1294794","2752","./lure_images/WM-207.jpg","3","","","","","","./lure_images/WM-207.jpg","","","","","true","recognition","[""1"",""2"",""3""]","3","","",""
"","","","","","image-keyboard-response","425","2.0.0","1297034","2240","./images/LF-212.jpg","6","","","","","","./images/LF-212.jpg","","","","","true","recognition","[""4"",""5"",""6""]","6","","",""
"","","","","","image-keyboard-response","426","2.0.0","1298161","1127","./images/AF-252.jpg","6","","","","","","./images/AF-252.jpg","","","","","true","recognition","[""4"",""5"",""6""]","6","","",""
"","","","","","image-keyboard-response","427","2.0.0","1299637","1475","./images/LM-210.jpg","6","","","","","","./images/LM-210.jpg","","","","","true","recognition","[""4"",""5"",""6""]","6","","",""
"","","","","","image-keyboard-response","428","2.0.0","1301612","1975","./lure_images/AM-204.jpg","3","","","","","","./lure_images/AM-204.jpg","","","","","true","recognition","[""1"",""2"",""3""]","3","","",""
"","","","","","image-keyboard-response","429","2.0.0","1303195","1583","./lure_images/LM-216.jpg","6","","","","","","./lure_images/LM-216.jpg","","","","","false","recognition","[""1"",""2"",""3""]","6","","",""
"","","","","","image-keyboard-response","430","2.0.0","1305001","1806","./images/WM-009.jpg","6","","","","","","./images/WM-009.jpg","","","","","true","recognition","[""4"",""5"",""6""]","6","","",""
"","","","","","image-keyboard-response","431","2.0.0","1317388","12386","./images/AF-255.jpg","2","","","","","","./images/AF-255.jpg","","","","","false","recognition","[""4"",""5"",""6""]","2","","",""
"","","","","","image-keyboard-response","432","2.0.0","1319925","2536","./lure_images/AF-208.jpg","2","","","","","","./lure_images/AF-208.jpg","","","","","true","recognition","[""1"",""2"",""3""]","2","","",""
"","","","","","image-keyboard-response","433","2.0.0","1321835","1910","./lure_images/WF-230.jpg","6","","","","","","./lure_images/WF-230.jpg","","","","","false","recognition","[""1"",""2"",""3""]","6","","",""
"","","","","","image-keyboard-response","434","2.0.0","1323249","1413","./images/LM-243.jpg","6","","","","","","./images/LM-243.jpg","","","","","true","recognition","[""4"",""5"",""6""]","6","","",""
